City,Latitude,Longtitude,Max Temperature,Humidity,Clouds,Wind Speed,Country,Weather Date
Mount Isa,-20.7333,139.5,74.97,100,100,8.05,AU,1643226602
Jamestown,42.097,-79.2353,19.09,53,75,5.99,US,1643226603
Hare Bay,48.8499,-54.0148,33.4,78,100,8.41,CA,1643226603
Lanzhou,36.0564,103.7922,13.28,74,100,2.57,CN,1643226604
Esperance,-33.8667,121.9,62.44,88,63,7.92,AU,1643226604
Lima,-12.0432,-77.0282,77.14,64,0,10.36,PE,1643226580
Yashkul',46.1711,45.3435,28.29,91,100,7.43,RU,1643226605
Yantarnyy,54.8717,19.9381,39.06,91,100,26.15,RU,1643226605
Hirara,24.8,125.2833,69.71,70,46,15.97,JP,1643226606
San Quintín,30.4833,-115.95,63.32,56,100,9.33,MX,1643226606
Ziarat,30.3823,67.7282,30.36,20,0,5.93,PK,1643226607
Bourail,-21.5667,165.4833,76.17,77,92,4.12,NC,1643226607
Arrianá,41.0833,25.7,25.95,66,14,3.02,GR,1643226608
Vardø,70.3705,31.1107,15.78,79,20,29.93,NO,1643226608
Barcelos,41.5388,-8.6151,53.85,71,0,5.26,PT,1643226608
Maceió,-9.6658,-35.7353,87.24,58,40,14.97,BR,1643226598
Preobrazheniye,42.9019,133.9064,16.48,66,2,8.1,RU,1643226609
Gizo Government Station,-8.103,156.8419,81.19,76,100,5.41,SB,1643226609
Erzin,36.9559,36.2,41.52,91,100,2.77,TR,1643226610
Arraial do Cabo,-22.9661,-42.0278,85.96,65,0,20.71,BR,1643226610
Salinas,36.6777,-121.6555,66.04,60,0,9.22,US,1643226335
Kieta,-6.2167,155.6333,79.29,83,100,3.76,PG,1643226611
Pasni,25.2631,63.471,67.71,32,0,9.22,PK,1643226611
Loandjili,-4.7561,11.8578,78.91,89,20,3.44,CG,1643226612
Channel-Port aux Basques,47.5702,-59.1367,25.81,70,100,13.09,CA,1643226612
Westport,41.1415,-73.3579,29.25,35,0,1.01,US,1643226613
Bathsheba,13.2167,-59.5167,83.01,61,40,11.5,BB,1643226613
Alekseyevsk,57.8406,108.3492,-3.5,100,96,1.83,RU,1643226613
Zhalantun,48.0,122.7167,-3.75,88,18,7.34,CN,1643226614
Touros,-5.1989,-35.4608,86.9,68,12,13.78,BR,1643226614
Saint-Philippe,-21.3585,55.7679,72.99,69,81,8.79,RE,1643226615
Pemangkat,1.1667,108.9667,77.59,85,100,7.58,ID,1643226615
Vestmannaeyjar,63.4427,-20.2734,34.03,76,87,8.3,IS,1643226615
Port-Gentil,-0.7193,8.7815,80.15,81,69,10.54,GA,1643226616
Sørland,67.667,12.6934,39.06,83,98,16.35,NO,1643226616
Cidreira,-30.1811,-50.2056,82.15,73,54,9.26,BR,1643226617
Sittwe,20.15,92.9,70.75,67,33,7.87,MM,1643226617
Bang Saphan,11.2126,99.5117,74.26,90,87,0.96,TH,1643226618
Hong Kong,22.2855,114.1577,67.24,92,100,1.01,HK,1643226502
Katsuura,35.1333,140.3,39.31,82,74,9.01,JP,1643226618
Pitimbu,-7.4706,-34.8086,84.79,70,11,12.8,BR,1643226619
East London,-33.0153,27.9116,74.7,89,100,7.52,ZA,1643226511
Dawei,14.0833,98.2,69.6,59,13,2.89,MM,1643226619
Buraidah,26.326,43.975,64.85,37,5,17.6,SA,1643226620
Mayo,38.8876,-76.5119,34.99,41,0,8.01,US,1643226620
Livingstone,-17.8419,25.8543,66.65,96,100,7.96,ZM,1643226621
Babstovo,48.1167,132.4833,-12.06,99,16,3.58,RU,1643226621
Cherskiy,68.75,161.3,-44.63,99,48,3.6,RU,1643226622
Matara,5.9485,80.5353,72.21,85,60,3.89,LK,1643226622
Mitú,1.1983,-70.1733,86.23,60,97,2.1,CO,1643226553
Coquimbo,-29.9533,-71.3436,67.73,68,0,17.27,CL,1643226382
Shache,38.4167,77.2406,32.72,51,7,1.52,CN,1643226623
Noyabrsk,63.1994,75.4507,-0.31,99,100,14.07,RU,1643226624
George Town,5.4112,100.3354,82.33,88,40,1.99,MY,1643226479
Mar del Plata,-38.0023,-57.5575,66.22,72,20,24.0,AR,1643226497
Ponta Delgada,37.7333,-25.6667,59.5,72,75,9.22,PT,1643226624
Aklavik,68.2191,-135.0107,4.03,78,100,8.05,CA,1643226625
Sinnamary,5.3833,-52.95,79.92,75,81,8.21,GF,1643226625
Salalah,17.0151,54.0924,71.69,60,20,3.44,OM,1643226398
Dryden,49.7833,-92.7503,8.89,72,100,18.41,CA,1643226626
Rundu,-17.9333,19.7667,73.44,58,100,2.24,NA,1643226626
Talara,-4.5772,-81.2719,83.16,65,0,11.5,PE,1643226627
San Javier,37.8063,-0.8374,56.68,75,75,14.97,ES,1643226627
Okhotsk,59.3833,143.3,-6.39,82,100,13.82,RU,1643226628
Porto-Novo,6.4965,2.6036,78.62,62,2,7.11,BJ,1643226628
Salisbury,51.0693,-1.7957,45.32,82,87,8.25,GB,1643226629
Souillac,-20.5167,57.5167,75.58,69,20,3.44,MU,1643226629
Tahoua,14.8888,5.2692,65.95,13,3,12.06,NE,1643226629
Gouré,13.9835,10.2704,69.03,17,0,10.11,NE,1643226630
São João da Barra,-21.6403,-41.0511,89.69,79,26,15.75,BR,1643226630
Christchurch,-43.5333,172.6333,57.33,77,42,4.0,NZ,1643226630
Fairbanks,64.8378,-147.7164,-0.44,77,75,0.0,US,1643226631
Torquay,50.4638,-3.5143,47.93,89,14,4.0,GB,1643226631
Laguna,38.421,-121.4238,67.21,60,0,1.99,US,1643226632
Pontes e Lacerda,-15.2261,-59.3353,87.35,61,100,2.59,BR,1643226632
Abu Samrah,35.3029,37.1841,39.02,96,100,10.02,SY,1643226632
Arys,42.4252,68.795,30.42,61,0,6.33,KZ,1643226633
Vigrestad,58.5667,5.7,42.96,95,100,16.22,NO,1643226633
Prykolotne,50.1604,37.3474,10.51,98,96,2.51,UA,1643226634
Penzance,50.1186,-5.5371,47.77,81,9,14.36,GB,1643226634
Iraan,30.914,-101.8979,34.36,76,100,10.49,US,1643226634
Sisophon,13.5859,102.9737,75.87,60,78,2.48,KH,1643226635
Samarai,-10.6167,150.6667,81.79,80,100,6.49,PG,1643226635
Codrington,-38.2667,141.9667,67.59,91,10,1.5,AU,1643226636
Saint Paul Harbor,57.79,-152.4072,33.31,86,100,10.36,US,1643226636
Pacific Grove,36.6177,-121.9166,67.15,75,0,1.01,US,1643226636
Alihe,50.5667,123.7167,-8.64,99,14,3.42,CN,1643226637
Micheweni,-4.9667,39.8333,79.59,74,100,14.45,TZ,1643226637
Torbay,47.6666,-52.7314,38.75,97,75,6.91,CA,1643226638
Ballitoville,-29.539,31.2144,77.25,83,20,2.3,ZA,1643226638
Ushtobe,45.2514,77.9838,19.51,88,78,2.84,KZ,1643226639
Sobolevo,54.4299,31.8996,-0.54,100,99,3.44,RU,1643226639
Mangalore,12.8667,74.8833,74.26,73,60,0.0,IN,1643226640
Nueve de Julio,-35.4444,-60.8831,76.71,63,100,19.01,AR,1643226640
Saint-Pierre,-21.3393,55.4781,73.08,68,75,6.91,RE,1643226640
Kenai,60.5544,-151.2583,8.65,92,75,3.44,US,1643226641
Luau,-10.7073,22.2247,64.92,98,100,3.76,AO,1643226641
Mvuma,-19.2792,30.5283,62.89,95,98,9.06,ZW,1643226642
Half Moon Bay,37.4636,-122.4286,64.89,75,0,4.61,US,1643226350
Kristinestad,62.2743,21.376,25.63,95,20,5.17,FI,1643226642
Napoleon,41.3923,-84.1252,19.06,78,79,8.01,US,1643226642
Turbat,26.0023,63.044,61.56,18,2,11.77,PK,1643226643
Nouadhibou,20.931,-17.0347,66.18,68,0,18.41,MR,1643226643
Tripoli,32.8752,13.1875,54.72,58,65,8.48,LY,1643226452
Ilo,-17.6394,-71.3375,72.0,73,65,6.62,PE,1643226644
Lagos,6.5833,3.75,82.72,72,0,5.48,NG,1643226501
Amga,60.8953,131.9608,-16.13,100,100,2.51,RU,1643226645
Ugoofaaru,5.6667,73.0,79.52,62,100,11.54,MV,1643226645
Cap Malheureux,-19.9842,57.6142,75.69,68,1,3.0,MU,1643226646
Bariloche,-41.1456,-71.3082,80.35,29,40,10.36,AR,1643226643
Tuktoyaktuk,69.4541,-133.0374,-0.4,78,75,18.41,CA,1643226646
Brazzaville,-4.2658,15.2832,80.91,78,100,4.61,CG,1643226647
Hemnesberget,66.2333,13.6333,37.51,97,100,3.91,NO,1643226647
Naze,28.3667,129.4833,59.9,72,49,4.7,JP,1643226364
Santa Cruz de la Sierra,-17.8,-63.1667,92.66,52,40,20.71,BO,1643226648
Damietta,31.4165,31.8133,46.29,70,53,28.3,EG,1643226648
San Jose,37.3394,-121.895,65.91,63,100,1.99,US,1643226490
Paamiut,61.994,-49.6678,15.31,79,100,15.73,GL,1643226649
São Paulo de Olivença,-3.3783,-68.8725,90.88,48,52,3.18,BR,1643226649
Khorol,49.7837,33.2783,21.0,91,100,5.01,UA,1643226649
Ola,59.5833,151.2833,-13.18,84,31,10.42,RU,1643226650
Te Anau,-45.4167,167.7167,50.99,72,79,1.77,NZ,1643226650
Nanortalik,60.1432,-45.2371,15.82,87,100,6.35,GL,1643226651
College,64.8569,-147.8028,1.06,77,75,0.0,US,1643226553
Gushikawa,26.3544,127.8686,66.2,83,0,6.91,JP,1643226651
Lavrentiya,65.5833,-171.0,-21.77,90,29,4.79,RU,1643226652
Dumas,35.8656,-101.9732,32.14,64,75,16.11,US,1643226652
Khasan,42.4308,130.6434,18.9,57,0,17.92,RU,1643226653
Aripuanã,-9.1667,-60.6333,74.79,97,100,3.96,BR,1643226653
Teberda,43.4456,41.7448,23.34,92,100,6.2,RU,1643226653
Saurimo,-9.6608,20.3916,65.26,96,100,4.21,AO,1643226654
Riyadh,24.6877,46.7219,69.94,29,0,15.5,SA,1643226563
Port Blair,11.6667,92.75,78.84,78,20,2.3,IN,1643226654
Brigantine,39.4101,-74.3646,32.2,39,0,12.66,US,1643226655
Kahului,20.8947,-156.47,77.85,64,20,5.75,US,1643226655
Navahrudak,53.6,25.8333,26.24,97,98,9.4,BY,1643226656
Nome,64.5011,-165.4064,-18.33,69,0,0.0,US,1643226656
Bubaque,11.2833,-15.8333,78.75,64,28,13.6,GW,1643226656
Vyartsilya,62.1764,30.693,23.99,95,100,10.49,RU,1643226657
Luang Prabang,19.8856,102.1347,60.78,77,0,0.74,LA,1643226657
Temyasovo,52.9933,58.1014,1.76,98,100,6.55,RU,1643226658
Guerrero Negro,27.9769,-114.0611,68.47,34,99,2.59,MX,1643226658
Quaraí,-30.3875,-56.4514,77.18,87,100,6.62,BR,1643226658
Dali,25.7,100.1833,41.07,90,65,4.16,CN,1643226659
Abilene,32.4487,-99.7331,40.37,40,100,1.01,US,1643226659
Richards Bay,-28.783,32.0377,74.5,88,100,7.09,ZA,1643226660
Cabedelo,-6.9811,-34.8339,84.87,71,13,12.91,BR,1643226660
Yambio,4.5721,28.3955,78.57,30,98,4.99,SS,1643226660
Caravelas,-17.7125,-39.2481,79.74,77,96,7.27,BR,1643226661
Waverly,42.7392,-84.6208,20.14,59,0,9.22,US,1643226596
Waipawa,-41.4122,175.5153,54.23,83,100,12.53,NZ,1643226662
Tiznit Province,29.5833,-9.5,54.55,56,4,3.2,MA,1643226662
Port Macquarie,-31.4333,152.9167,65.89,69,81,1.79,AU,1643226578
Bambous Virieux,-20.3428,57.7575,75.45,69,20,3.44,MU,1643226663
San Antonio,29.4241,-98.4936,56.55,60,100,8.05,US,1643226381
Tondano,1.3038,124.9112,68.09,88,99,0.43,ID,1643226663
Pagudpud,18.5616,120.7868,76.08,92,98,15.73,PH,1643226664
Sillanwali,31.8261,72.5398,48.88,42,0,3.04,PK,1643226664
Nchelenge,-9.3451,28.734,71.56,80,99,3.67,ZM,1643226551
Noumea,-22.2763,166.4572,79.0,99,87,7.67,NC,1643226665
Ulaanbaatar,47.9077,106.8832,-11.16,93,7,3.15,MN,1643226635
Severo-Kuril'sk,50.6789,156.125,25.81,70,94,20.0,RU,1643226665
Marzuq,14.4,46.4667,60.21,72,0,2.77,YE,1643226666
Diamantino,-14.4086,-56.4461,86.54,62,75,4.09,BR,1643226666
Itarema,-2.9248,-39.9167,82.04,72,100,15.19,BR,1643226420
Saint George,37.1041,-113.5841,51.64,36,0,3.0,US,1643226610
Jijiang,29.2906,106.2542,51.37,89,100,2.68,CN,1643226667
Gimli,50.6336,-96.9907,30.43,86,100,5.75,CA,1643226483
Alofi,-19.0595,-169.9187,80.49,89,5,6.91,NU,1643226668
Larsnes,62.2028,5.5773,40.6,91,100,10.71,NO,1643226668
Port Elizabeth,-33.918,25.5701,70.11,94,100,4.61,ZA,1643226442
Maridi,4.9158,29.4742,79.86,28,100,4.23,SS,1643226669
Bānki,20.3833,85.5333,68.11,56,0,6.67,IN,1643226669
Dwārka,22.2394,68.9678,66.09,47,1,10.49,IN,1643226670
Yuncheng,35.0231,110.9928,32.67,92,100,2.66,CN,1643226670
Kefamenanu,-9.4467,124.4781,72.46,95,100,5.82,ID,1643226670
Arrondissement de Saint-Gaudens,43.0833,0.6667,47.14,77,0,4.59,FR,1643226671
Ibrā’,22.6906,58.5334,63.73,48,5,2.35,OM,1643226671
Zhangaözen,43.3,52.8,35.2,59,100,15.17,KZ,1643226672
Olafsvik,64.8945,-23.7142,35.56,60,100,11.03,IS,1643226672
Sioux Lookout,50.1001,-91.917,8.98,72,100,14.97,CA,1643226673
Hongjiang,27.11,109.9956,40.17,97,100,3.91,CN,1643226673
Moose Factory,51.2585,-80.6094,3.2,66,0,17.27,CA,1643226673
Algodones,20.3888,-105.4773,76.51,53,100,6.62,MX,1643226674
Harper,4.375,-7.7169,79.63,79,51,9.06,LR,1643226674
Arman',59.7,150.1667,-11.04,81,99,10.83,RU,1643226675
Leshukonskoye,64.8989,45.7622,-3.23,100,74,4.27,RU,1643226675
Mount Gambier,-37.8333,140.7667,69.71,88,6,10.36,AU,1643226676
Ahipara,-35.1667,173.1667,67.51,83,90,14.0,NZ,1643226676
Smithers,54.7804,-127.1743,25.12,93,100,2.3,CA,1643226676
Pauini,-7.7136,-66.9764,80.58,86,77,3.33,BR,1643226677
Tessalit,20.1986,1.0114,66.52,17,100,11.56,ML,1643226677
Salinópolis,-0.6136,-47.3561,81.01,79,100,8.86,BR,1643226678
Villarrica,-25.75,-56.4333,90.46,48,97,2.42,PY,1643226678
Talnakh,69.4865,88.3972,2.21,96,100,17.25,RU,1643226678
Bosaso,11.2842,49.1816,72.46,66,1,5.19,SO,1643226679
Srednekolymsk,67.45,153.6833,-44.0,100,50,3.62,RU,1643226679
Puerto Escondido,15.85,-97.0667,84.33,55,2,7.83,MX,1643226680
Constantine,36.365,6.6147,42.21,65,0,0.0,DZ,1643226680
Buala,-8.145,159.5921,77.47,79,100,3.83,SB,1643226681
